	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
DMRT3	0	0	0	1	0	0
DMRT2	6	5	6	3	3	13
SMARCA2	1028	827	1492	691	760	2141
VLDLR	489	430	685	385	403	1130
KCNV2	0	0	0	0	0	0
RFX3	45	51	69	23	31	117
GLIS3	24	44	43	40	34	61
GLIS3-AS1	1	0	0	1	0	0
SLC1A1	116	88	205	91	109	241
SPATA6L	9	7	9	8	8	34
CDC37L1	213	251	682	194	186	579
AK3	861	845	1604	777	817	2227
RCL1	224	198	326	178	157	536
MIR101-2	0	0	0	0	0	0
JAK2	151	189	369	176	180	601
INSL6	0	0	0	0	0	0
INSL4	2	0	0	3	0	3
RLN2	2	0	10	3	1	14
RLN1	1	2	3	6	5	13
PLGRKT	130	104	203	102	129	356
CD274	202	180	305	162	191	538
PDCD1LG2	20	20	12	11	35	95
ERMP1	1183	1303	2463	1074	1032	2818
MLANA	0	0	0	0	0	0
KIAA2026	317	322	635	276	247	774
MIR4665	0	0	0	0	0	0
RANBP6	233	281	548	167	196	595
IL33	75	68	132	120	115	250
TPD52L3	0	0	0	0	0	0
UHRF2	446	482	854	415	415	1416
GLDC	4	1	11	4	5	20
KDM4C	601	435	749	419	505	1329
PTPRD	104	78	133	78	94	186
TYRP1	0	0	0	0	0	4
LURAP1L	165	158	248	133	118	339
MPDZ	533	513	927	428	517	1286
LINC00583	0	0	0	0	0	0
NFIB	545	444	837	394	410	1102
ZDHHC21	76	85	166	74	69	236
CER1	0	0	0	0	0	0
FREM1	0	0	0	1	2	0
LOC389705	0	0	0	0	0	0
TTC39B	122	109	161	103	123	241
SNAPC3	412	381	747	359	367	1152
PSIP1	677	605	866	388	521	1398
CCDC171	12	17	45	7	15	53
C9orf92	0	0	0	0	0	0
BNC2	7	6	0	4	5	3
CNTLN	57	41	118	46	36	136
SH3GL2	0	0	0	0	0	0
ADAMTSL1	0	1	0	0	0	0
MIR3152	0	0	0	0	0	0
RRAGA	1147	911	1368	880	877	2550
HAUS6	265	308	640	233	249	731
SCARNA8	1	0	1	0	0	0
PLIN2	185	124	230	124	139	333
DENND4C	647	686	1394	498	544	1457
RPS6	18108	14138	25354	14719	15196	46210
ACER2	185	182	230	105	129	270
SLC24A2	0	0	0	0	0	0
MLLT3	260	245	472	242	227	638
MIR4473	0	0	0	0	0	0
MIR4474	0	0	0	0	0	0
FOCAD	586	538	936	584	574	1654
MIR491	0	0	0	0	0	0
IFNB1	2	0	1	0	0	1
IFNW1	0	0	0	0	0	0
IFNA21	0	0	0	0	0	0
IFNA4	0	0	0	0	0	0
IFNA7	0	0	0	0	0	0
IFNA10	0	0	0	0	0	0
IFNA16	0	0	0	0	0	0
IFNA17	0	0	0	0	0	0
IFNA14	0	0	0	0	0	0
IFNA22P	0	0	0	0	0	0
IFNA5	0	0	0	0	0	0
KLHL9	499	432	861	341	431	1231
IFNA6	0	0	0	0	0	0
IFNA13	0	0	0	0	0	0
IFNA2	0	0	0	0	0	0
IFNA8	0	0	0	0	0	0
IFNA1	0	0	0	0	0	0
MIR31HG	118	90	149	87	106	288
IFNE	17	25	45	17	15	59
MIR31	0	2	3	0	0	3
MTAP	681	650	1275	753	729	2223
CDKN2A	1076	937	1375	834	807	2822
CDKN2B-AS1	11	11	15	8	16	32
CDKN2B	1348	1566	2595	1390	1374	3811
DMRTA1	14	12	49	14	5	36
ELAVL2	22	22	21	6	7	32
IZUMO3	0	0	1	0	0	0
TUSC1	45	27	76	39	26	101
LOC100506422	0	0	0	0	0	0
CAAP1	222	204	371	174	186	523
PLAA	615	547	1076	544	623	1741
IFT74	138	178	468	127	141	361
LRRC19	0	0	0	0	0	0
TEK	2	1	3	2	0	9
LINC00032	0	0	0	0	0	5
EQTN	1	0	0	1	0	0
MOB3B	334	298	620	279	238	865
IFNK	0	0	1	2	2	0
C9orf72	96	65	202	80	80	222
LINGO2	4	0	0	0	0	0
MIR876	0	0	0	0	0	0
MIR873	0	0	0	0	0	0
ACO1	936	780	1449	898	913	2462
DDX58	214	279	473	361	334	1016
TOPORS	1123	922	1660	821	919	2599
NDUFB6	120	117	161	145	88	224
TAF1L	0	1	0	0	1	0
TMEM215	0	0	0	0	0	0
APTX	629	469	781	437	498	1472
DNAJA1	2626	2129	3734	2177	2415	7166
SMU1	1436	1226	2028	947	1249	3226
B4GALT1	7150	7254	11777	8400	8718	23721
SPINK4	0	0	3	3	0	5
BAG1	590	544	876	425	507	1632
CHMP5	1338	1147	1809	999	1148	3692
NFX1	968	817	1310	731	846	2339
AQP7	4	0	0	3	2	4
AQP3	1936	2076	3002	1407	1161	3651
NOL6	736	606	1056	640	564	1933
SUGT1P1	0	7	4	3	3	10
ANKRD18B	58	60	124	51	54	180
ANXA2P2	287	147	257	205	179	671
PTENP1	0	5	9	3	8	10
PRSS3	85	60	106	109	86	350
UBE2R2	1104	1045	1786	991	1060	2988
UBAP2	1670	1658	2281	1476	1519	4545
SNORD121B	0	0	0	0	0	0
SNORD121A	0	0	0	0	0	0
DCAF12	702	648	1050	581	613	1651
UBAP1	2413	2031	3018	1992	2040	6176
KIF24	47	42	46	33	28	85
NUDT2	227	185	327	198	190	640
C9orf24	3	1	1	2	3	4
FAM219A	663	666	921	636	689	2043
DNAI1	0	0	1	0	0	0
ENHO	0	0	0	0	0	0
CNTFR	1	0	0	0	0	0
RPP25L	147	127	182	136	117	385
DCTN3	303	323	461	262	281	799
ARID3C	1	0	1	0	0	0
SIGMAR1	1873	1806	2449	1757	1738	5311
GALT	124	130	131	112	104	347
IL11RA	36	35	53	28	25	79
CCL27	1	2	0	0	0	6
CCL19	0	0	0	0	0	0
CCL21	0	0	0	0	0	0
FAM205A	0	0	0	0	0	0
DNAJB5	475	369	607	443	391	1448
C9orf131	0	0	0	0	0	0
VCP	6134	5105	8988	5653	5666	17411
FANCG	103	86	120	92	93	245
PIGO	427	398	565	387	365	1042
STOML2	589	502	861	527	506	1650
FAM214B	936	828	1324	978	854	2841
UNC13B	618	471	862	524	515	1672
ATP8B5P	4	0	0	1	3	2
RUSC2	518	466	798	603	503	1360
FAM166B	6	3	2	3	0	4
TESK1	294	344	458	323	274	896
MIR4667	0	0	0	0	0	0
CD72	23	12	24	11	7	25
SIT1	0	0	0	0	0	0
RMRP	5	0	8	47	0	3
CCDC107	181	222	244	201	189	545
ARHGEF39	45	53	40	22	23	98
CA9	332	326	484	314	233	776
TPM2	2464	2581	3684	2706	1883	6327
TLN1	5773	4971	8014	5663	5085	15201
CREB3	695	578	886	605	625	1745
GBA2	439	369	484	397	338	1057
RGP1	376	406	585	393	366	1068
MSMP	7	11	4	6	9	12
NPR2	195	156	218	160	166	406
SPAG8	1	2	4	5	1	1
HINT2	75	61	97	49	53	149
FAM221B	2	0	2	1	0	1
TMEM8B	174	171	258	176	130	390
OR13J1	0	0	0	0	0	0
HRCT1	14	14	16	10	7	33
OR2S2	0	0	0	0	0	0
RECK	56	42	88	34	42	120
GLIPR2	13	28	30	12	19	57
CCIN	0	0	1	4	2	6
CLTA	2819	2328	3554	1764	1980	6389
GNE	362	354	548	304	325	1164
RNF38	213	191	368	177	193	543
MELK	351	306	553	295	302	851
MIR4475	0	0	0	0	0	0
PAX5	0	0	0	0	0	0
MIR4540	0	0	0	0	0	0
MIR4476	0	0	0	0	0	0
ZCCHC7	327	277	430	223	271	723
GRHPR	878	714	1130	801	670	2167
ZBTB5	294	282	478	254	251	767
POLR1E	194	190	346	176	180	524
FBXO10	147	135	186	135	110	372
TOMM5	770	672	1091	756	631	1966
FRMPD1	0	1	0	0	0	0
TRMT10B	62	61	65	48	40	154
EXOSC3	155	140	290	160	156	465
DCAF10	175	172	416	156	151	496
SLC25A51	234	211	297	164	195	593
SHB	412	441	664	530	455	1458
ALDH1B1	621	524	875	537	490	1447
IGFBPL1	2	2	9	0	0	8
ANKRD18A	27	36	77	23	27	89
FAM201A	2	6	10	2	7	7
CNTNAP3	128	110	159	80	83	188
SPATA31A1	0	0	0	0	0	0
ZNF658B	0	0	0	0	0	0
FAM74A1	0	0	0	0	0	0
SPATA31A3	0	0	0	0	0	0
FAM74A3	0	2	0	0	0	0
ZNF658	59	47	76	30	52	83
SPATA31A5	0	0	0	0	0	0
SPATA31A7	0	0	0	0	0	0
ANKRD20A2	0	0	0	0	0	0
ANKRD20A3	0	0	0	0	0	0
FAM95B1	1	1	2	1	0	1
FOXD4L4	0	0	0	0	0	0
LOC286297	5	3	1	4	2	6
AQP7P3	0	0	0	1	0	2
LOC642929	0	0	0	0	0	0
SPATA31A6	0	0	0	0	0	0
CNTNAP3B	15	14	20	17	16	52
FAM27C	0	0	0	0	0	0
FAM74A4	0	0	0	0	0	0
PTGER4P2-CDK2AP2P2	0	1	0	1	0	0
AQP7P1	1	4	4	7	4	5
FAM27B	0	0	0	0	0	0
ANKRD20A1	0	0	0	0	0	0
PGM5P2	8	8	18	7	4	30
LOC440896	0	0	0	0	1	0
FOXD4L6	0	0	0	0	0	0
CBWD6	30	27	24	26	19	66
ANKRD20A4	0	0	1	0	0	0
LOC100133920	2	0	0	0	0	0
FOXD4L5	0	0	0	0	0	0
CBWD3	0	1	1	2	0	6
CBWD5	0	0	0	0	0	0
FOXD4L3	0	0	0	0	0	0
PGM5-AS1	0	0	0	0	0	0
PGM5	1	1	1	3	1	4
TMEM252	0	0	0	0	0	0
PIP5K1B	7	6	6	5	3	9
FAM122A	196	143	303	151	179	441
PRKACG	0	0	0	0	0	0
FXN	135	68	177	112	118	345
TJP2	2901	2551	4072	2464	2612	7278
BANCR	0	0	0	0	0	0
FAM189A2	69	81	108	49	55	124
APBA1	48	32	79	20	24	61
PTAR1	213	277	568	193	183	521
C9orf135	0	0	0	0	0	0
MAMDC2	36	38	77	21	21	74
SMC5	472	506	1045	440	473	1252
KLF9	632	634	818	441	489	1202
TRPM3	0	0	0	1	1	0
MIR204	0	0	0	0	0	0
C9orf85	117	123	261	71	132	309
C9orf57	0	0	0	0	0	0
GDA	17	15	50	31	29	90
ZFAND5	808	880	1393	743	773	1980
TMC1	3	5	4	6	1	8
ALDH1A1	62	50	112	61	49	123
ANXA1	15257	12321	21138	14647	15889	49302
RORB	0	0	4	0	0	0
TRPM6	12	14	13	4	13	21
C9orf40	47	59	92	52	43	148
NMRK1	277	282	352	160	165	501
OSTF1	947	765	1282	768	785	2228
PCSK5	88	67	118	67	91	261
RFK	129	97	265	153	118	397
RPSAP9	3	5	3	3	2	14
GCNT1	137	134	226	118	99	321
PRUNE2	4	7	5	4	2	14
PCA3	0	0	0	0	0	0
FOXB2	0	0	0	0	0	0
VPS13A-AS1	2	2	0	0	0	0
VPS13A	694	651	1341	615	603	1772
GNA14	0	0	0	0	0	0
GNAQ	283	296	544	293	247	846
CEP78	86	69	136	61	61	206
PSAT1	176	148	265	125	130	408
TLE4	291	273	474	274	262	732
TLE1	323	292	464	260	256	742
SPATA31D5P	0	0	0	0	0	0
SPATA31D4	0	0	0	0	0	0
SPATA31D3	0	0	0	0	0	0
SPATA31D1	0	0	0	0	0	0
RASEF	272	231	441	187	215	584
FRMD3	6	7	7	2	6	28
IDNK	11	9	17	5	6	18
UBQLN1	1660	1521	2773	1531	1538	4388
GKAP1	11	8	25	9	11	19
KIF27	113	103	144	75	107	214
C9orf64	137	102	167	92	115	272
HNRNPK	9591	8074	13864	7088	8101	23197
MIR7-1	0	2	5	1	4	2
RMI1	20	23	55	11	19	79
SLC28A3	3	9	19	27	11	51
NTRK2	0	0	2	2	0	0
AGTPBP1	109	107	189	96	97	241
LOC389765	5	2	10	8	4	9
NAA35	385	465	912	388	419	1013
GOLM1	868	807	1357	692	720	2106
C9orf153	3	4	2	1	0	4
ISCA1	252	211	396	273	248	710
GAS1	10	6	25	13	15	24
LOC440173	1	1	1	1	0	0
LOC494127	0	0	0	0	0	0
C9orf170	0	0	0	0	0	0
DAPK1	129	129	195	94	93	261
CTSL3P	0	0	0	0	0	0
LOC392364	0	0	0	0	0	0
SPATA31E1	0	0	0	0	0	0
SPATA31C1	0	0	0	0	0	0
CDK20	37	33	56	48	28	92
SPATA31C2	0	0	0	0	0	0
SPIN1	558	499	1275	504	540	1605
NXNL2	4	1	2	0	3	10
MIR4289	0	0	0	0	0	0
C9orf47	0	3	2	2	2	9
S1PR3	76	51	153	82	63	251
SHC3	13	10	9	10	6	32
CKS2	681	489	822	431	448	1507
MIR3153	5	0	3	0	0	12
SECISBP2	334	295	543	303	317	869
SEMA4D	50	53	64	54	46	145
GADD45G	1	9	10	2	2	2
UNQ6494	0	0	0	0	0	0
MIR4290	0	0	0	0	0	0
DIRAS2	0	0	0	0	0	0
SYK	346	323	561	289	296	940
LOC100129316	0	0	0	0	3	0
AUH	154	139	221	109	120	340
NFIL3	490	513	730	330	384	933
MIR3910-1	0	0	0	0	0	0
MIR3910-2	0	0	0	0	0	0
ROR2	0	0	0	1	2	0
SPTLC1	1418	1335	2367	1105	1302	3346
LOC100128076	1	0	0	2	0	2
LINC00475	0	0	2	0	0	7
IARS	1716	1535	3018	1557	1632	4908
MIR3651	0	0	0	0	0	0
SNORA84	0	0	0	0	0	0
NOL8	680	597	1152	497	555	1551
CENPP	35	38	54	16	18	60
OGN	0	0	0	0	0	0
OMD	0	0	0	0	0	0
ASPN	0	0	0	0	0	0
ECM2	5	1	7	2	0	4
MIR4670	0	0	0	0	0	0
IPPK	416	332	522	356	332	1024
LOC100128361	9	6	1	3	3	17
BICD2	2384	2377	3601	2080	1823	5785
ANKRD19P	21	26	43	22	27	47
ZNF484	52	79	164	53	55	148
FGD3	24	16	32	21	8	46
SUSD3	0	0	0	0	0	1
NINJ1	307	319	406	379	275	851
WNK2	13	3	10	14	8	41
C9orf129	0	0	0	0	0	0
FAM120AOS	346	291	492	226	248	722
FAM120A	2270	2008	3636	2238	1864	6052
PHF2	397	337	570	334	332	934
MIR4291	0	0	0	0	0	0
BARX1	0	0	3	1	1	0
PTPDC1	115	110	225	117	131	388
MIRLET7A1	0	0	0	3	0	0
MIRLET7F1	0	0	0	0	0	0
MIRLET7D	0	0	3	0	0	0
ZNF169	20	19	29	22	32	101
LOC100132077	4	0	2	1	3	4
FBP2	0	0	0	0	0	0
FBP1	0	1	4	2	3	6
C9orf3	218	222	346	201	206	519
MIR2278	0	0	0	0	0	0
MIR23B	1	1	9	1	1	6
MIR27B	3	1	6	5	4	3
MIR3074	0	0	0	0	0	0
MIR24-1	5	0	1	3	1	0
FANCC	79	45	82	55	51	135
PTCH1	61	92	109	62	50	204
LOC100507346	0	2	0	0	2	6
LINC00476	34	31	43	37	25	59
ERCC6L2	43	45	79	44	32	134
LINC00092	0	0	0	0	0	0
LOC158435	0	0	0	0	0	0
LOC158434	0	0	0	0	0	0
HSD17B3	60	71	72	26	26	81
SLC35D2	324	296	439	248	310	825
ZNF367	8	21	29	8	11	23
HABP4	140	115	190	105	113	326
CDC14B	175	135	188	100	136	428
LOC441455	0	6	2	1	2	8
ZNF510	151	140	278	139	189	416
ZNF782	39	49	86	31	31	123
LOC100132781	0	0	0	0	0	0
LOC441454	0	0	0	0	0	0
LOC286359	0	0	0	0	0	0
TDRD7	189	177	232	173	194	401
TMOD1	2	1	0	1	1	0
TSTD2	247	216	389	213	211	642
NCBP1	653	548	1071	571	585	1759
XPA	88	74	142	55	67	152
FOXE1	54	67	101	66	59	166
HEMGN	0	2	0	0	0	0
ANP32B	2374	2003	3236	1872	2130	5805
NANS	590	483	733	490	530	1450
TRIM14	526	553	831	620	604	1926
CORO2A	880	742	1199	865	828	2571
TBC1D2	1601	1714	2313	1739	1290	3946
GABBR2	3	15	8	6	5	11
ANKS6	340	322	488	369	305	853
GALNT12	229	218	299	201	201	531
COL15A1	0	1	0	1	0	1
TGFBR1	564	575	1257	561	587	1676
ALG2	480	454	823	410	429	1258
SEC61B	773	685	1288	813	720	1901
NR4A3	0	3	2	1	0	6
STX17	440	393	739	323	350	987
ERP44	1651	1631	2496	1503	1626	4108
INVS	245	219	418	232	229	680
TEX10	198	235	477	217	230	620
MSANTD3	467	458	595	399	421	1282
MSANTD3-TMEFF1	0	0	0	0	0	0
TMEFF1	0	0	0	0	0	0
BAAT	3	3	9	3	1	1
MRPL50	244	212	390	164	211	750
ZNF189	185	216	336	133	150	440
ALDOB	0	0	0	0	0	0
TMEM246	132	127	143	126	113	351
RNF20	1033	822	1309	722	927	2318
GRIN3A	0	0	0	0	0	0
PPP3R2	0	0	0	0	0	0
CYLC2	0	0	0	0	0	0
SMC2	395	426	824	308	346	882
OR13F1	0	0	0	0	0	0
OR13C4	0	0	0	0	0	0
OR13C3	0	0	0	0	0	0
OR13C8	0	0	0	0	0	0
OR13C5	0	0	0	0	0	0
OR13C2	0	0	0	0	0	0
OR13C9	0	0	0	0	0	0
OR13D1	0	0	0	0	0	0
NIPSNAP3A	404	430	529	454	332	992
NIPSNAP3B	1	2	1	3	1	6
ABCA1	898	761	1480	752	748	2220
SLC44A1	515	521	1068	393	478	1123
FSD1L	46	32	70	39	28	108
FKTN	301	333	638	295	235	776
TAL2	0	1	0	2	2	6
TMEM38B	60	51	93	40	39	160
ZNF462	1028	935	1520	847	871	2431
MIR548Q	4	0	0	0	1	2
RAD23B	3101	2891	5305	2642	2731	8283
KLF4	335	331	543	288	282	801
ACTL7B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
FAM206A	295	270	554	247	267	690
CTNNAL1	246	234	584	208	228	708
TMEM245	970	988	1475	723	832	2350
MIR32	0	0	0	0	0	0
FRRS1L	0	0	0	0	0	0
EPB41L4B	563	472	850	435	485	1406
PTPN3	850	760	1184	733	761	2120
PALM2	19	8	24	6	6	13
PALM2-AKAP2	0	0	0	0	0	0
AKAP2	0	0	0	0	0	1
C9orf152	3	1	2	1	8	1
TXN	5567	6569	13833	5787	5772	15828
TXNDC8	0	0	0	0	0	0
SVEP1	18	19	15	10	13	33
MUSK	0	0	0	0	1	1
LPAR1	319	300	434	310	280	953
OR2K2	0	0	0	0	0	0
ZNF483	9	8	20	6	2	7
PTGR1	1985	1644	2809	1395	1696	4662
LRRC37A5P	0	0	0	0	0	0
DNAJC25	147	150	280	116	159	385
DNAJC25-GNG10	0	0	0	0	0	0
GNG10	1	0	0	0	0	0
C9orf84	3	10	16	4	3	10
UGCG	160	183	347	187	204	483
MIR4668	0	1	2	1	0	0
MIR3134	0	0	0	0	0	0
SUSD1	276	259	360	180	245	608
PTBP3	1513	1763	3955	1440	1439	4086
HSDL2	457	389	665	374	349	1021
KIAA1958	15	17	13	10	13	43
INIP	68	74	153	66	85	208
SNX30	331	335	485	246	295	834
SLC46A2	0	0	0	0	0	0
ZNF883	35	36	51	23	23	71
ZFP37	11	7	14	11	14	46
FAM225B	0	0	0	0	0	0
FAM225A	0	0	0	1	0	0
SLC31A2	503	430	749	409	445	1262
FKBP15	723	648	1038	655	644	1986
SLC31A1	373	407	630	319	351	1129
CDC26	399	334	503	280	350	976
PRPF4	783	639	1124	687	682	2006
RNF183	3	2	1	9	5	13
WDR31	71	61	81	51	53	153
BSPRY	91	81	131	80	87	305
HDHD3	107	148	156	103	91	308
ALAD	435	404	680	294	313	969
POLE3	1746	1458	2290	1339	1453	4110
C9orf43	13	12	9	8	7	19
RGS3	358	302	506	353	275	877
ZNF618	587	551	769	573	475	1437
AMBP	0	0	0	0	0	0
KIF12	13	24	34	25	12	66
COL27A1	716	835	1049	932	687	2264
MIR455	0	0	0	0	0	0
ORM1	0	0	0	0	1	0
ORM2	0	0	0	0	0	0
AKNA	76	73	110	90	65	173
ATP6V1G1	2041	1855	3587	2178	1854	5774
TNFSF15	37	34	63	45	56	166
TNFSF8	0	0	0	0	0	0
TNC	2232	1823	2838	2707	2811	6657
DEC1	5	2	4	2	5	12
LINC00474	0	0	0	0	0	0
PAPPA	75	68	105	76	91	149
ASTN2	2	5	6	7	0	8
TRIM32	272	277	476	270	241	776
SNORA70C	0	0	0	0	0	0
TLR4	51	51	82	45	52	171
MIR147A	0	0	0	0	0	0
CDK5RAP2	929	704	1287	692	797	2319
MEGF9	447	491	796	322	389	938
FBXW2	1413	1160	2215	1307	1300	3573
PSMD5	718	702	1298	626	683	1929
PHF19	145	161	251	112	99	345
TRAF1	44	36	50	44	41	89
C5	2	9	10	5	7	16
CNTRL	262	252	390	160	201	466
RAB14	869	1077	1978	823	903	2399
GSN	3384	2924	4763	3113	2660	8083
STOM	3815	3456	4984	2997	3160	9013
GGTA1P	0	0	0	0	0	2
DAB2IP	3311	3291	4327	2928	2329	6605
TTLL11	57	48	74	52	66	163
MIR4478	0	0	0	0	0	0
NDUFA8	576	556	787	613	496	1599
MORN5	0	0	0	0	0	2
LHX6	16	8	25	8	12	28
RBM18	328	296	490	244	229	712
MRRF	331	273	420	302	337	904
PTGS1	13	32	53	15	18	63
OR1J1	0	0	0	0	0	0
OR1J2	0	0	0	0	0	0
OR1J4	0	0	0	0	0	0
OR1N1	0	0	0	0	0	0
OR1N2	0	0	0	0	0	0
OR1L8	0	0	0	0	0	1
OR1Q1	0	0	3	0	0	0
OR1B1	0	0	0	0	0	0
OR1L1	0	0	0	0	0	0
OR1L3	0	0	0	0	0	0
OR1L4	0	0	0	0	0	0
OR1L6	0	0	0	0	0	0
OR5C1	0	0	0	0	0	0
OR1K1	0	0	0	0	0	0
PDCL	270	199	396	221	244	667
RC3H2	821	715	1228	660	616	1871
SNORD90	0	0	0	0	0	0
ZBTB6	136	124	195	100	113	278
ZBTB26	28	18	47	27	18	64
RABGAP1	1149	1070	1835	846	960	2600
GPR21	0	0	0	1	0	0
MIR600HG	37	38	50	29	30	91
MIR600	0	0	0	0	0	0
STRBP	355	344	557	225	258	718
CRB2	0	0	0	0	0	0
DENND1A	175	144	284	182	137	446
MIR601	0	0	0	1	0	4
LHX2	0	0	0	0	0	0
NEK6	494	369	641	403	390	1073
PSMB7	3199	2605	2911	2690	2894	8881
LOC100129034	411	382	470	310	254	897
NR5A1	0	0	0	0	0	0
NR6A1	19	19	22	10	16	68
MIR181A2HG	9	8	22	2	7	16
MIR181A2	0	0	0	0	0	0
MIR181B2	1	0	1	1	0	0
OLFML2A	433	480	653	218	217	555
WDR38	20	33	8	15	11	60
RPL35	6940	5995	8980	7180	5809	18640
ARPC5L	657	583	1081	519	622	1768
GOLGA1	424	365	625	314	322	983
SCAI	74	63	115	58	53	164
PPP6C	393	425	773	402	399	1086
RABEPK	242	185	290	184	185	557
HSPA5	16919	15314	25288	13575	16356	41471
GAPVD1	1105	951	1610	872	949	2954
MAPKAP1	1320	1005	1753	1185	1113	3431
PBX3	210	194	283	145	147	430
MVB12B	47	41	62	36	30	94
NRON	0	0	0	0	0	0
LMX1B	4	2	4	3	1	8
ZBTB43	554	596	915	470	522	1532
ZBTB34	121	138	244	132	121	387
RALGPS1	46	44	92	41	28	82
ANGPTL2	2	3	11	3	4	5
GARNL3	17	13	37	18	22	19
SLC2A8	65	83	124	100	49	179
ZNF79	139	126	210	130	132	340
RPL12	14173	11210	15653	11243	11522	35387
SNORA65	10	6	9	6	3	18
LRSAM1	263	289	403	246	225	703
FAM129B	4233	4245	6204	5305	3759	12423
STXBP1	862	855	1197	816	796	2300
MIR3911	27	23	18	7	17	39
PTRH1	67	69	102	70	53	160
TTC16	1	0	0	0	0	2
TOR2A	80	110	119	80	57	173
SH2D3C	6	5	2	4	5	30
MIR3960	0	0	0	0	0	0
MIR2861	0	0	0	0	0	0
CDK9	454	420	692	575	445	1274
FPGS	515	513	663	568	453	1308
ENG	153	162	220	164	102	389
AK1	427	410	687	506	418	1239
MIR4672	0	0	0	0	0	0
ST6GALNAC6	1427	1230	1594	1238	1160	3357
ST6GALNAC4	119	141	208	172	120	339
PIP5KL1	16	27	40	21	19	32
DPM2	246	212	306	264	200	653
FAM102A	332	382	548	297	234	809
NAIF1	133	134	196	122	101	253
SLC25A25	75	79	123	75	64	250
PTGES2	232	237	333	332	214	697
LCN2	4455	4174	5002	7214	5429	14498
C9orf16	116	114	131	146	57	262
CIZ1	1214	1139	1661	1201	989	3007
DNM1	5	10	9	10	8	33
MIR199B	0	0	0	0	0	0
MIR3154	0	0	0	0	0	0
GOLGA2	1854	1582	2601	1709	1638	4938
SWI5	173	187	255	198	161	537
TRUB2	533	398	653	409	405	1298
COQ4	154	168	179	134	100	410
SLC27A4	304	304	451	407	279	826
URM1	559	499	702	458	417	1308
CERCAM	1311	1270	1634	1335	1003	3277
ODF2	569	510	805	515	499	1437
GLE1	760	671	1032	596	657	1821
SPTAN1	6015	5300	8539	5575	5478	16096
WDR34	86	87	105	94	51	204
SET	7763	6153	10630	5967	6465	18982
PKN3	21	36	43	37	26	62
ZDHHC12	222	247	323	314	149	531
LOC100506100	22	19	31	19	19	48
ZER1	694	684	960	837	548	1879
TBC1D13	270	218	386	235	217	718
ENDOG	94	92	118	113	72	192
LRRC8A	3993	4151	5621	4161	3158	9845
PHYHD1	24	16	29	10	11	41
DOLK	349	300	442	330	290	829
NUP188	812	717	1159	779	670	2109
SH3GLB2	448	503	733	559	422	1454
DOLPP1	231	246	395	242	229	580
CRAT	484	478	576	453	379	1097
IER5L	61	71	102	52	54	126
C9orf106	0	0	0	0	0	0
C9orf50	0	0	1	0	0	0
NTMT1	193	163	295	269	190	591
ASB6	385	381	533	395	393	1243
PRRX2	0	0	7	2	0	12
PTGES	895	876	1171	1046	892	2595
TOR1B	430	402	649	490	482	1296
TOR1A	636	565	932	596	517	1583
C9orf78	1624	1306	2074	1230	1237	3702
USP20	198	195	247	208	163	531
FNBP1	520	461	759	476	485	1475
GPR107	1907	1883	2935	1675	1738	4992
NCS1	1556	1429	2248	1757	1396	4191
ASS1	1060	896	1575	1370	1245	3537
LOC100272217	1	0	6	0	5	8
FUBP3	2392	2010	3152	1824	2137	5868
PRDM12	0	0	0	1	0	0
EXOSC2	264	248	445	226	232	760
ABL1	830	777	1215	994	764	2435
QRFP	1	0	0	0	1	0
FIBCD1	11	8	10	15	12	23
LAMC3	0	0	0	0	0	0
AIF1L	21	16	23	18	19	65
NUP214	961	853	1295	808	857	2302
FAM78A	9	10	5	6	14	29
PRRC2B	3493	3338	5132	3294	3034	8970
SNORD62B	0	0	0	0	0	0
SNORD62A	0	0	0	0	0	0
POMT1	234	242	348	274	206	681
UCK1	208	169	257	178	164	482
RAPGEF1	567	499	781	496	398	1386
MED27	233	248	376	221	237	637
NTNG2	0	2	0	1	0	1
SETX	1156	1147	2149	959	1046	2608
TTF1	282	241	419	206	207	683
BARHL1	0	0	0	0	0	0
DDX31	155	130	180	137	121	426
GTF3C4	329	283	523	298	280	816
AK8	8	3	4	8	4	6
TSC1	649	626	1059	569	597	1788
GFI1B	0	0	0	0	0	0
GTF3C5	550	488	707	524	512	1470
CEL	108	111	150	88	72	174
CELP	0	1	2	0	0	0
RALGDS	769	751	1168	811	615	2037
GBGT1	48	42	73	51	60	138
OBP2B	0	0	0	0	0	0
ABO	125	159	146	97	110	326
SURF6	500	479	786	618	450	1287
MED22	448	407	561	417	377	1225
RPL7A	15837	13808	21839	14412	14568	45119
SNORD24	9	7	9	7	4	26
SNORD36B	1	0	2	0	0	1
SNORD36A	38	31	48	27	30	111
SNORD36C	0	1	2	0	0	2
SURF1	143	138	222	133	172	345
SURF2	171	185	235	199	149	495
SURF4	2805	2835	4496	2684	2464	7023
REXO4	585	521	768	552	507	1652
ADAMTS13	34	22	56	34	12	60
CACFD1	40	59	54	63	24	120
SLC2A6	155	173	241	279	174	566
ADAMTSL2	0	0	0	0	0	0
FAM163B	0	0	0	0	0	0
DBH	0	0	0	0	0	0
SARDH	0	0	0	0	0	0
